Sigla;Código;Município;1970;1980;1991;2000;2010;
MG;3117405;Conceição de Ipanema;49,97;56,46;63,924;70,004;74,51;
MG;3117504;Conceição do Mato Dentro;52,97;55,9;65,543;67,718;72,65;
MG;3117603;Conceição do Pará;52,29;58,63;66,874;73,5;75,97;
MG;3117702;Conceição do Rio Verde;46,4;57,26;68,14;71,526;75,01;
MG;3117801;Conceição dos Ouros;54,85;56,36;69,14;72,121;75,49;
MG;3117836;Cônego Marinho;;;64,86;69,056;72,96;
MG;3117876;Confins;;;65,492;72,747;74,79;
MG;3117900;Congonhal;52,41;58,3;68,128;69,559;75,81;
MG;3118007;Congonhas;48,45;54,69;64,112;71,231;77,59;
MG;3118106;Congonhas do Norte;50,11;55,9;64,842;67,718;69,74;
MG;3118205;Conquista;57,83;61,41;68,119;71,282;77,59;
MG;3118304;Conselheiro Lafaiete;50,04;58,71;69,834;71,231;76,62;
MG;3118403;Conselheiro Pena;49,41;55,07;63,924;70,926;75,24;
MG;3118502;Consolação;48,74;60,99;65,059;69,573;73,36;
MG;3118601;Contagem;49,82;57,31;66,256;70,066;74,94;
MG;3118700;Coqueiral;51,58;58,8;68,416;72,253;75,26;
MG;3118809;Coração de Jesus;53,2;58,15;64,098;68,951;73,48;
MG;3118908;Cordisburgo;49,84;57,07;68,057;68,87;72,17;
MG;3119005;Cordislândia;50,04;56,36;68,245;73,203;73,39;
MG;3119104;Corinto;49,15;55,51;61,161;66,318;75,49;
MG;3119203;Coroaci;45,06;54,27;60,376;67,891;73,64;
MG;3119302;Coromandel;54,92;58,63;68,665;74,555;76,57;
MG;3119401;Coronel Fabriciano;47,15;55,29;67,374;72,236;76,88;
MG;3119500;Coronel Murta;53,31;55,18;62,126;67,638;72,05;
MG;3119609;Coronel Pacheco;52,13;57,41;64,842;70,595;72,36;
MG;3119708;Coronel Xavier Chaves;52,96;55,7;67,9;69,14;74,4;
MG;3119807;Córrego Danta;51,9;59,36;66,386;72,325;75,61;
MG;3119906;Córrego do Bom Jesus;49,28;58,3;63,727;69,672;75,4;
MG;3119955;Córrego Fundo;;;66,19;70,384;72,67;
MG;3120003;Córrego Novo;55,96;59,07;66,677;69,381;73,32;
MG;3120102;Couto de Magalhães de Minas;42,86;56,25;62,287;68,698;73,4;
MG;3120151;Crisólita;;;56,387;62,371;72,96;
MG;3120201;Cristais;47,99;59,09;69,931;72,849;76,54;
MG;3120300;Cristália;52,02;58,74;65,463;69,84;72,71;
MG;3120409;Cristiano Otoni;51,01;57,48;67,845;70,637;74,39;
MG;3120508;Cristina;46,18;58,24;65,059;69,771;75,53;
MG;3120607;Crucilândia;50,18;56,25;65,381;70,904;73,97;
